year,make,model,trim,bolt_pattern,center_bore_mm,thread_size,seat_type,offset_min_mm,offset_max_mm,source,confidence,source_notes
# Ford F-150 (14th Gen: 2021-2025)
2025,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2024,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2023,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2022,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2021,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
# Ford F-150 (13th Gen: 2015-2020)
2020,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2019,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2018,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2017,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2016,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
2015,Ford,F-150,Base,6x135,87.1,M14x1.5,conical,-12,44,manufacturer_spec,high,OEM specification
# Chevrolet Silverado 1500 (4th Gen: 2019-2025)
2025,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2024,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2023,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2022,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2021,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2020,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2019,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
# Chevrolet Silverado 1500 (3rd Gen: 2014-2018)
2018,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2017,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2016,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2015,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2014,Chevrolet,Silverado 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
# RAM 1500 (5th Gen: 2019-2025)
2025,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2024,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2023,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2022,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2021,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2020,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
2019,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification
# GMC Sierra 1500 (5th Gen: 2019-2025)
2025,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2024,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2023,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2022,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2021,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2020,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
2019,GMC,Sierra 1500,Base,6x139.7,78.1,M14x1.5,conical,0,31,manufacturer_spec,high,OEM specification
# Toyota Tacoma (3rd Gen: 2016-2023)
2023,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2022,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2021,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2020,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2019,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2018,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2017,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2016,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
# Toyota Tacoma (4th Gen: 2024-2025)
2025,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
2024,Toyota,Tacoma,Base,6x139.7,106.1,M12x1.5,conical,0,30,manufacturer_spec,high,OEM specification
# Toyota Tundra (3rd Gen: 2022-2025)
2025,Toyota,Tundra,Base,6x139.7,106.1,M14x1.5,conical,0,35,manufacturer_spec,high,OEM specification
2024,Toyota,Tundra,Base,6x139.7,106.1,M14x1.5,conical,0,35,manufacturer_spec,high,OEM specification
2023,Toyota,Tundra,Base,6x139.7,106.1,M14x1.5,conical,0,35,manufacturer_spec,high,OEM specification
2022,Toyota,Tundra,Base,6x139.7,106.1,M14x1.5,conical,0,35,manufacturer_spec,high,OEM specification
# Toyota RAV4 (5th Gen: 2019-2025)
2025,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2024,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2023,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2022,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2021,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2020,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
2019,Toyota,RAV4,Base,5x114.3,60.1,M12x1.5,conical,35,50,manufacturer_spec,high,OEM specification
# Honda CR-V (6th Gen: 2023-2025)
2025,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2024,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2023,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
# Honda CR-V (5th Gen: 2017-2022)
2022,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2021,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2020,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2019,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2018,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
2017,Honda,CR-V,Base,5x114.3,64.1,M12x1.5,conical,40,55,manufacturer_spec,high,OEM specification
# Jeep Wrangler JL (2018-2025)
2025,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2024,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2023,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2022,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2021,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2020,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2019,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
2018,Jeep,Wrangler,Base,5x127,71.6,M14x1.5,conical,0,44,manufacturer_spec,high,OEM specification
# Jeep Grand Cherokee WL (2022-2025)
2025,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2024,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2023,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2022,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
# Jeep Grand Cherokee WK2 (2011-2021)
2021,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2020,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2019,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2018,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2017,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2016,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2015,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2014,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2013,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2012,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
2011,Jeep,Grand Cherokee,Base,5x127,71.6,M14x1.5,conical,30,56,manufacturer_spec,high,OEM specification
# Toyota 4Runner (5th Gen: 2010-2025)
2025,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2024,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2023,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2022,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2021,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2020,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
2019,Toyota,4Runner,Base,6x139.7,106.1,M12x1.5,conical,0,25,manufacturer_spec,high,OEM specification
