Priority,Make,Model,Years,SearchHits,Score
1,Mazda,Mazda6,"2022, 2021, 2020, 2019, 2018, 2017, 2015, 2014, 2013, 2012",265,4240
2,Dodge,Journey,"2020, 2016, 2015",64,230
3,Acura,Integra,"2026, 2024, 2023",40,192
4,Kia,Soul,"2020, 2017, 2016",31,112
5,Kia,K5,"2025, 2023, 2022",23,110
6,Nissan,Frontier,"2024, 2023",23,64
7,Dodge,Durango,"2018",38,38
8,Gmc,Yukon Xl,"2023",25,30
9,Toyota,Corolla,"2020",18,22
10,Subaru,Forester,"2025",15,18
11,Honda,Accord,"2010",17,17
12,Chevrolet,Camaro,"2024",11,13
13,Toyota,Tacoma,"2010",11,11
14,Acura,Rdx,"2023",8,10
15,Ford,Ranger,"2024",8,10
16,Ford,Explorer,"2015",5,5
17,Ford,F150,"2024",1,1
18,Volkswagen,Id.4,"2023",1,1
