year,make,model,trim,bolt_pattern,center_bore_mm,thread_size,seat_type,offset_min_mm,offset_max_mm,source,confidence,source_notes
# RAM 1500 (5th Gen: 2019-2026) - 6-lug
2026,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2025,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2024,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2023,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2022,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2021,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2020,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
2019,RAM,Ram 1500,Base,6x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 6-lug
# RAM 1500 Classic (2019-2025) - 5-lug continuation of 4th gen
2025,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2024,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2023,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2022,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2021,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2020,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
2019,RAM,Ram 1500 Classic,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug Classic
# RAM 1500 (4th Gen: 2009-2018) - 5-lug (as RAM brand from 2010)
2018,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2017,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2016,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2015,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2014,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2013,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2012,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2011,RAM,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
# Dodge Ram 1500 (2009-2010 under Dodge brand, same vehicle)
2010,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2009,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
# Dodge Ram 1500 (3rd Gen: 2002-2008) - 5-lug
2008,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2007,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2006,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2005,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2004,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2003,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
2002,Dodge,Ram 1500,Base,5x139.7,77.8,M14x1.5,conical,-12,25,manufacturer_spec,high,OEM specification - 5-lug
